data_type,date,price_kes,competitor,availability,your_base_price,price_difference_from_yours,predicted_price_kes,recommendation
forecast,2025-10-15,,,,,,113.09,Maintain current price
forecast,2025-10-16,,,,,,114.04,Maintain current price
forecast,2025-10-17,,,,,,114.99,Maintain current price
forecast,2025-10-18,,,,,,115.94,Maintain current price
forecast,2025-10-19,,,,,,116.89,Maintain current price
forecast,2025-10-20,,,,,,117.84,Maintain current price
forecast,2025-10-21,,,,,,118.79,Maintain current price
historical,2025-08-26,282.3,Metropolitan Living,Available,6500.0,6217.7,,
historical,2025-08-26,234.11,City View Apartments,Last Unit,6500.0,6265.89,,
historical,2025-08-26,203.95,Uptown Apartments,Limited,6500.0,6296.05,,
historical,2025-08-26,288.05,Garden District Properties,Last Unit,6500.0,6211.95,,
historical,2025-08-27,187.13,Urban Living Co,Limited,6500.0,6312.87,,
historical,2025-08-27,318.17,Metropolitan Living,Available,6500.0,6181.83,,
historical,2025-08-27,232.67,City View Apartments,Good Availability,6500.0,6267.33,,
historical,2025-08-27,145.45,Elite Properties,Limited,6500.0,6354.55,,
historical,2025-08-28,222.1,Parkside Residences,Available,6500.0,6277.9,,
historical,2025-08-28,128.79,Uptown Apartments,Last Unit,6500.0,6371.21,,
historical,2025-08-28,130.82,Premium Rentals,Limited,6500.0,6369.18,,
historical,2025-08-28,283.55,Downtown Suites,Good Availability,6500.0,6216.45,,
historical,2025-08-29,266.39,Riverside Condos,Limited,6500.0,6233.61,,
historical,2025-08-29,231.16,Downtown Suites,Good Availability,6500.0,6268.84,,
historical,2025-08-29,213.04,Garden District Properties,Good Availability,6500.0,6286.96,,
historical,2025-08-29,279.17,Uptown Apartments,Last Unit,6500.0,6220.83,,
historical,2025-08-30,325.5,Urban Living Co,Last Unit,6500.0,6174.5,,
historical,2025-08-30,153.4,Harbor View Homes,Last Unit,6500.0,6346.6,,
historical,2025-08-30,258.0,Metro Homes,Limited,6500.0,6242.0,,
historical,2025-08-30,291.39,LuxuryStays Inc,Limited,6500.0,6208.61,,
historical,2025-08-31,249.11,Metropolitan Living,Limited,6500.0,6250.89,,
historical,2025-08-31,276.09,Urban Living Co,Available,6500.0,6223.91,,
historical,2025-08-31,293.22,Downtown Suites,Good Availability,6500.0,6206.78,,
historical,2025-08-31,138.99,Uptown Apartments,Last Unit,6500.0,6361.01,,
historical,2025-09-01,248.18,Urban Living Co,Good Availability,6500.0,6251.82,,
historical,2025-09-01,221.06,Skyline Rentals,Limited,6500.0,6278.94,,
historical,2025-09-01,220.69,Parkside Residences,Last Unit,6500.0,6279.31,,
